"pwsid","a_int.identified_as_disadvantaged","pw_int_hh.percent_pre_1960s_housing_lead_paint_indicator","pw_int_pop.low_life_expectancy_percentile"
"AZ0414014",1,3,NA
"AZ0414015",1,12,63.85
"AZ0414018",1,5,57
"AZ0414022",1,8,18
"AZ0414024",0.32,14,52.91
"AZ0414030",1,5,57
"AZ0414037",1,21,57
"AZ0414039",0.98,3,NA
"AZ0414065",0,NA,NA
"AZ0414070",1,1,54
"AZ0414073",1,5,57
"AZ0414075",1,NA,NA
"AZ0414080",0,4,57
"AZ0414082",0.99,6,35
"AZ0414086",1,3,NA
"AZ0414098",1,0,16
"AZ0414099",1,NA,NA
"AZ0414107",1,5,57
"AZ0414322",1,3,NA
"AZ0414391",1,NA,NA
"AZ0414403",0,20,NA
"AZ0414432",1,4,17
"AZ0414442",1,1,90
"AZ0414463",1,4,17
"AZ0415002",1,4,83
"AZ0415006",1,4,83
"AZ0415010",1,4,83
"AZ0415011",1,4,83
"AZ0415021",1,10,46
"AZ0415023",1,10,46
"AZ0415026",0,3,NA
"AZ0415027",0,3,NA
"AZ0415029",1,10,46
"AZ0415038",1,5,60.64
"AZ0415040",1,4,83
"AZ0415058",0,3,NA
"AZ0415096",1,5,59
"AZ0415122",1,2,72
"AZ0415123",1,6,44
"AZ0415346",1,5,59
"AZ0415497",1,6,44
"AZ0415509",1,5,59
"AZ0415801",1,NA,NA
"AZ0420019",0,NA,NA
"AZ0420026",1,22,78
"AZ0420033",1,8,68
"AZ0420042",0,29,57
"AZ0420043",0,5,77
"AZ0420092",1,NA,NA
"AZ0420096",0,29,57
"AZ0420159",1,NA,NA
"AZ0420175",0,3,22
"AZ0420176",1,NA,NA
"AZ0420197",0,NA,NA
"AZ0420205",1,3,70
"AZ0420419",0,1,5
"AZ0420420",1,3,70
"AZ0420439",1,3,56
"AZ0420443",1,6,84
"AZ0420445",0,5,77
"AZ0420475",1,NA,NA
"AZ0420478",0,NA,NA
"AZ0420487",1,NA,NA
"AZ0420500",1,NA,NA
"AZ0420529",0,NA,NA
"AZ0420531",0,10,39
"AZ0420542",1,5,82
"AZ0420546",1,NA,NA
"AZ0420549",0.91,7,NA
"AZ0420557",1,NA,NA
"AZ0420570",0,15,NA
"AZ0420575",0,NA,NA
"AZ0420595",0.92,9,18
"AZ0420597",0,1,18
"AZ0420598",1,1,77
"AZ0420600",1,5,25
"AZ0420602",1,0,80
"AZ0420606",1,9,18
"IA0105002",0,42,59
"IA0135046",0,54,66
"IA0140007",0,54,66
"IA0140701",1,61,33
"IA0160099",1,61,33
"IA0180001",0,45,33.2
"IA0207704",0,52,9
"IA0220075",0,53,72
"IA0345054",0,35,80
"IA0370047",0,42,51
"IA0375053",0.75,59,16.62
"IA0398082",0.05,46,58.99
"IA0400900",0.35,42,48.98
"IA0400901",0.02,45,48.56
"IA0400902",0,35,24.58
"IA0407008",1,60,86.35
"IA0410026",1,43,41
"IA0467008",0,38,32.15
"IA0472012",0,38,32
"IA0477040",0,33,59
"IA0505077",1,54,53
