"pwsid","a_int.identified_as_disadvantaged","pw_int_hh.percent_pre_1960s_housing_lead_paint_indicator","pw_int_pop.low_life_expectancy_percentile"
"IA1754073",0,57,32
"IA1759048",0,58,15
"IA1773097",0,57,32
"IA1778008",0,57,32
"IA1781019",0,57,32
"IA1785032",0,39,55
"IA1800601",0,57,53
"IA1800900",0,70,7
"IA1803079",0,57,57
"IA1811001",0,57,53
"IA1811020",0,57,53
"IA1817045",0,70,7
"IA1833060",0,64,30
"IA1838032",0,64,30
"IA1849071",0,70,7
"IA1855066",0,57,57
"IA1880073",0,70,7
"IA1903027",0,62,19
"IA1940068",0,39,3
"IA1946078",0,62,19
"IA1957064",0,39,3
"IA1967041",0,53,32
"IA1970051",0,40,56
"IA2032023",0,46,55
"IA2038038",0.98,47,81.92
"IA2038701",0.79,47,82
"IA2109041",0,56,12
"IA2115029",0,65,38
"IA2122067",0,65,38
"IA2154039",0,65,38
"IA2171071",0.46,41,43.55
"IA2203039",0,51,54
"IA2220002",0,43,46.68
"IA2223011",1,52,36
"IA2228037",0,51,54
"IA2234074",0.99,52,36
"IA2242018",0,43,69
"IA2254061",0,61,0
"IA2256041",0,51,54
"IA2258012",0,51,54
"IA2258603",0,51,54
"IA2264095",0,61,0
"IA2277020",0,61,0
"IA2279003",0,51,46
"IA2285055",0,51,46
"IA2300607",0,53,53
"IA2307001",0,53,3
"IA2320062",0,53,53
"IA2322066",0,25,35
"IA2324016",0,53,3
"IA2326048",0.21,64,64.96
"IA2328024",0,64,59
"IA2330036",0,37,37
"IA2330301",0,37,37
"IA2339094",0,53,3
"IA2341099",0,53,53
"IA2346047",0,64,59
"IA2348002",0,25,35
"IA2391001",0,64,59
"IA2394017",0,53,53
"IA2417018",1,65,67
"IA2421025",0,57,54
"IA2424027",1,27,59
"IA2424701",0,62,24
"IA2427049",1,65,67
"IA2432034",0,66,50
"IA2436023",0,62,24
"IA2446029",0,66,50
"IA2452044",0,57,54
"IA2458023",0,57,54
"IA2503003",0,30,29.07
"IA2520098",0,41,44
"IA2525010",0,50,3
"IA2529035",0,18,12
"IA2533038",0,33,15
"IA2537001",0,19,8.3
"IA2547085",0,41,44
"IA2561036",0.69,57,38.64
"IA2564074",0,38,11.78
"IA2570046",0,18,12
"IA2570304",0,NA,NA
"IA2573080",0,4,21.42
"IA2573301",0,26,49.45
"IA2573701",0.08,41,30.26
"IA2576036",0,21,8
"IA2576705",0,21,8
"IA2613019",0,47,32.86
"IA2662064",0,48,13
"IA2718755",1,41,33
"IA2725073",0,37,14
"IA2740050",1,41,33
"IA2742076",1,50,87
"IA2809055",0,50,61
"IA2813019",0,50,61
"IA2817020",0,47,51
"IA2825099",0,50,61
"IA2835056",0,47,51
"IA2839021",0,43,31.13
"IA2864013",0,47,51
"IA2900603",0,34,37
"IA2900626",0,28,5
"IA2909053",0.45,66,57.91
"IA2915000",0,37,27.74
"IA2948062",0,34,37
"IA2952075",0,33,17.92
"IA2985002",0,31,77.74
"IA3000099",0,26,1
"IA3003067",0,25,4.09
"IA3045046",0,47,61
"IA3050079",0,38,47.06
"IA3060091",0,26,1
"IA3070078",0,30,69.69
"IA3073001",0,21,13
"IA3080016",0,42,57
"IA3087057",0,26,1
"IA3090081",0,26,1
"IA3100600",0,13,73
"IA3100606",0,25,41
"IA3100608",0,3,31
"IA3100609",0,19,56
"IA3100629",0,30,15
"IA3100823",0,30,15
"IA3102001",0,7,34.1
"IA3113001",0,29,24
"IA3118080",0,39,15.13
"IA3122301",0,5,23
"IA3126052",0.15,48,47.74
"IA3126303",0,19,56
"IA3126304",0,NA,NA
"IA3126306",0,5,23
"IA3126603",0,3,31
"IA3126605",0,30,15
"IA3130091",0,31,20.49
"IA3133033",0,32,7
"IA3135018",0,32,7
"IA3146055",0,48,12
"IA3158001",0,48,12
"IA3165014",0,48,12
"IA3170001",0,5,23
"IA3170302",0,5,23
"IA3170335",0,NA,NA
"IA3189001",0,48,12
"IA3203066",1,60,54
"IA3203301",1,67,8
"IA3215044",0,57,51
"IA3218024",0.42,64,57.53
"IA3225701",0,57,51
"IA3275087",1,60,54
"IA3290060",0,57,51
"IA3307065",0,59,68
"IA3317047",0,56,5
"IA3338010",0,56,5
"IA3342041",0,59,68
"IA3346037",0,61,8
"IA3350059",0,52,51
"IA3353088",1,63,79.31
"IA3371056",0,59,68
"IA3375001",0,61,8
"IA3379009",0,52,51
"IA3383014",0,49,69
"IA3405012",0.89,49,52.95
"IA3409066",0,50,1
"IA3414044",0,50,1
"IA3420031",0,56,37
"IA3423069",0,52,77
"IA3430091",0,56,37
"IA3440007",0,52,77
"IA3500933",1,59,48
"IA3503014",0,67,4
"IA3525079",0,67,4
"IA3539080",0,56,30
"IA3544024",1,59,48
"IA3544301",0,56,30
"IA3549026",0,56,30
"IA3554061",0,67,4
"IA3570037",0,56,30
"IA3615040",0,66,44
"IA3621023",1,45,55
"IA3649072",0,66,44
"IA3655071",0,66,44
"IA3661048",0,48,77
"IA3667012",0,47,74.13
"IA3671021",1,45,55
"IA3709001",0,72,66
"IA3730098",1,61,25
"IA3742004",0.46,52,54.63
"IA3759031",0,72,66
"IA3803094",0,55,43
"IA3809067",0,55,43
"IA3815042",0,49,27
"IA3833013",0,55,37
"IA3839052",0,65,9
"IA3870073",0,49,27
"IA3880001",0,65,9
"IA3890097",0,65,9
"IA3900301",0,31,51
"IA3907092",0,63,26
"IA3914081",0,62,26.72
"IA3937016",0,47,15
"IA3949000",0,31,51
"IA3971026",0,31,51
"IA3980040",0,31,51
"IA4003012",0,64,23
"IA4009016",0,57,2
"IA4027010",0,57,2
"IA4039071",0,57,2
"IA4045090",0,58,73
"IA4051002",0,58,73
"IA4063094",0,48,45.45
"IA4070022",0,64,23
"IA4103045",1,45,59
"IA4109077",0,63,57
"IA4115092",1,45,59
"IA4130075",0,37,32.92
"IA4135093",0,57,10
"IA4150014",0,63,57
"IA4155035",0,57,10
"IA4170033",0,63,57
"IA4201001",0,53,26
"IA4213013",0,56,9
"IA4236005",0,51,60
"IA4254061",0,64,21
"IA4260097",0,62,37.43
"IA4260602",0,66,74
"IA4271062",0,64,21
"IA4271901",0,64,21
"IA4283067",0,56,9
"IA4289094",0,53,26
"IA4291038",0,64,21
"IA4300600",1,60,78
"IA4300601",1,60,78
"IA4316087",0,61,61
"IA4333089",0,61,61
"IA4337092",0,54,71
"IA4341017",0,52,83
"IA4344088",1,60,78
"IA4347093",0,54,71
"IA4349094",0,52,83
"IA4364044",0,61,61
"IA4388034",0,52,83
"IA4425032",0,40,13
"IA4453016",0,38,52.64
"IA4453318",0,40,13
"IA4453901",0,52,34.31
"IA4458060",0,45,24
"IA4465093",0,61,33
"IA4475001",0,40,13
"IA4478023",0,40,13
"IA4490091",0,61,33
"IA4493028",0,61,33
"IA4509024",0,54,69
"IA4515087",0,57,57
"IA4525017",0,54,69
"IA4535081",0,52,19
"IA4552063",0,52,19
"IA4558001",0.4,55,38.52
"IA4609028",0,63,13
"IA4622095",0,58,7
"IA4641064",0.64,47,40.16
"IA4647090",0,65,19
"IA4652011",0,63,13
"IA4669080",0,65,19
"IA4675012",0,63,13
"IA4680018",0,65,19
"IA4703068",0,64,45
"IA4709090",0,64,45
"IA4715072",0,65,44
"IA4721054",0,65,44
"IA4728067",0,45,36
"IA4800634",0,NA,NA
"IA4802301",0,40,28
"IA4840042",0,53,59
"IA4843033",0,53,59
"IA4848001",0,40,28
"IA4852082",0,55,42
"IA4858070",0.01,55,41.92
"IA4868034",0,40,28
"IA4868701",0,40,28
"IA4875050",0,53,43.03
"IA4884023",0,31,16
"IA4903050",0,30,15
"IA4907084",0,37,61
"IA4910000",0,51,35.9
"IA4945052",0,30,15
"IA4950029",0.49,44,73.18
"IA4953078",0,52,10
"IA4955001",0,37,61
"IA4965057",0,52,10
"IA4975014",0,52,10
"IA4984086",0,53,38
"IA5003091",0,34,73
"IA5009056",0,42,32
"IA5038017",0,40,4
"IA5047008",0,49,1
"IA5052087",0,34,73
"IA5054096",0,36,63
"IA5059064",0.47,51,69.17
"IA5059601",0,49,2
"IA5064055",0,42,32
"IA5076005",0,49,1
"IA5107089",0,41,2
"IA5131033",0.77,43,53.67
"IA5131705",0,NA,NA
"IA5148079",0,41,2
"IA5157091",0,39,65
"IA5159001",0,41,2
"IA5200303",0,17,35
"IA5200304",0,17,35
"IA5200318",0,5,8
"IA5200601",0,15,31
"IA5200602",0,NA,NA
"IA5200603",0,5,1
"IA5200801",0,17,35
"IA5200802",0,3,6
"IA5200810",0,18,18
"IA5200813",0,17,35
"IA5200817",0,5,8
"IA5200825",0,5,8
"IA5200861",0,18,18
"IA5200891",0,17,35
"IA5208071",0.14,9,55.97
"IA5208600",0,1,65
"IA5221001",0,26,43
"IA5225079",0.09,23,19.2
"IA5225101",0.09,13,7.97
"IA5225301",0,NA,NA
"IA5225302",0,18,18
"IA5225303",0,5,8
"IA5225304",0,5,55
"IA5225308",0,5,8
"IA5225309",0,6,11.11
"IA5225315",0,26,43
"IA5225316",0,17,35
"IA5225321",0,NA,NA
"IA5225325",0,17,35
"IA5225326",0,21,1
"IA5225386",0,15,31
"IA5225387",0,17,35
"IA5225601",0,15,31
"IA5225673",0,26,43
"IA5240095",0,15,31
"IA5252072",0,5,4.81
"IA5252302",0,5,1
"IA5260017",0,5,1
"IA5260601",0,54,35
"IA5280302",0,18,18
"IA5280303",0,18,18
"IA5280306",0,18,18
"IA5282062",0,17,35
"IA5282301",0,17,35
"IA5282302",0,18,18
"IA5282303",0,18,18
"IA5282305",0,17,35
"IA5282308",0,17,35
"IA5282310",0,NA,NA
"IA5282311",0,NA,NA
"IA5285301",0,18,18
"IA5285302",0,18,18
"IA5285303",0,18,18
"IA5285305",0,18,18
"IA5288021",0,5,1
"IA5300600",0,7,56
"IA5300947",1,26,28
"IA5307048",0.21,45,33.84
"IA5315005",0,63,38.44
"IA5337046",1,26,28
"IA5343098",0,48,59
"IA5343301",0,48,59
"IA5349001",1,26,28
"IA5355094",0.99,26,28
"IA5358096",0,64,41
"IA5361020",0,64,41
"IA5396039",0,64,41
"IA5417026",0,54,48
"IA5428031",0,61,30
"IA5432042",0,54,35
"IA5440028",0,61,30
"IA5442029",1,60,33
"IA5470083",0,54,35
"IA5475050",0,54,48
"IA5478074",1,60,33
"IA5491093",1,60,33
"IA5493016",1,60,33
"IA5500822",0,60,45
"IA5500838",0,55,55.21
"IA5502015",0,44,43.96
"IA5502319",0,47,66
"IA5507085",1,60,36
"IA5510060",1,60,36
"IA5515042",1,60,36
"IA5540049",1,67,8
"IA5543069",1,67,8
"IA5547094",1,60,36
"IA5551006",0,63,41.42
"IA5584009",1,67,8
"IA5588026",0,63,45
"IA5592098",0,63,45
"IA5595020",0,56,45
"IA5620046",0,35,57
"IA5625062",0,71,61.62
"IA5640019",0.57,63,86.57
"IA5650003",0,32,51
"IA5691012",0,43,38
"IA5700600",0,NA,NA
"IA5704012",0,50,25
"IA5710001",0,16,0
"IA5715093",0.07,31,43.48
"IA5715301",0,4,28
"IA5715702",0,39,8.54
"IA5718006",0,33,6
"IA5720010",0,50,27.23
"IA5722053",0,49,51
"IA5728018",0,21,3
"IA5731032",0,8,24.82
"IA5731301",0,1,35
"IA5731302",0,21,3
"IA5735045",0.02,9,69.72
"IA5748086",0,39,10
"IA5748300",0,43,39.06
"IA5751035",0,16,31.6
"IA5751301",0,2,27
"IA5751601",0,4,37
"IA5751602",0,4,37
"IA5758021",0,39,10
"IA5765101",0,18,25
"IA5765303",0,18,25
"IA5772054",0,49,51
"IA5782087",0,44,NA
"IA5784302",0,18,25
"IA5784303",0,33,6
"IA5784307",0,5,28
"IA5784309",0,4,37
"IA5784311",0,5,28
"IA5784313",0,18,25
"IA5784314",0,NA,NA
"IA5784321",0,44,48
"IA5784326",0,5,28
"IA5792059",0,33,6
"IA5809063",1,55,27
"IA5815064",1,55,27
"IA5842000",0,40,6
"IA5842102",0,40,6
"IA5857011",0,44,61
"IA5868085",0,44,61
"IA5879063",0,44,61
"IA5879601",0,NA,NA
"IA5903011",0.95,49,65.46
"IA5939009",0,45,71
"IA6000733",0,37,13
"IA6000755",0,37,13
"IA6000800",0,45,43.54
"IA6003032",0,37,13
"IA6015047",0,37,13
"IA6028081",0,64,17
"IA6040076",0,37,13
"IA6050059",0,37,13
"IA6055077",0,37,13
"IA6060006",0,64,17
"IA6065092",0,46,47
"IA6115097",0,31,17
"IA6167036",0,47,10
"IA6171029",0,44,74.27
"IA6264063",0,58,22
"IA6273005",0.22,53,61.89
"IA6273901",0,39,51
"IA6300099",1,50,34
"IA6300800",0,27,42.08
"IA6309061",0,45,51
"IA6338000",0,45,51
"IA6342036",0,39,73.88
"IA6342301",0,32,44
"IA6342711",0.24,36,44.48
"IA6368033",0,35,25.27
"IA6377046",0,26,39
"IA6380047",0,26,39
"IA6400628",0,34,5
"IA6403011",0,52,20
"IA6415046",0,50,52
"IA6436087",0,34,5
"IA6452062",0,49,2
"IA6457070",0,34,5
"IA6462087",0,52,20
"IA6469042",0.27,53,58.99
"IA6471063",0,49,2
"IA6480081",0,49,2
"IA6484093",0,50,52
"IA6500600",0,NA,NA
"IA6500823",0,28,NA
"IA6520019",0,65,73
"IA6525090",0,27,75.65
"IA6527038",0,65,73
"IA6529043",0,65,73
"IA6545020",0,65,73
"IA6575052",0,28,NA
"IA6663001",0,46,37
"IA6668001",1,56,18
"IA6673016",0,54,17
"IA6677089",1,56,18
"IA6709017",0,55,77
"IA6715083",0,60,73
"IA6727028",0,60,73
"IA6731006",0,73,61
"IA6739095",0.97,55,86.99
"IA6749061",0,73,61
"IA6762043",0,73,61
"IA6769018",0,55,77
"IA6803010",0,42,74
"IA6858000",0,32,44
"IA6915015",0,61,18
"IA6950075",0.87,57,69.06
"IA6950701",0,67,62
"IA6985051",0,67,62
"IA7000600",0,51,12
"IA7000601",0,25,6
"IA7000617",0,25,6
"IA7009071",0,43,74
"IA7038301",0,NA,NA
"IA7038800",0,25,6
"IA7048001",0.24,50,31.25
"IA7048301",0,12,4
"IA7048320",0,35,77
"IA7048332",0,25,6
"IA7048392",0,35,77
"IA7063096",0,25,6
"IA7073010",0,49,51
"IA7078026",0,43,74
"IA7109065",0,62,43
"IA7128036",0,51,51
"IA7139032",0,62,43
"IA7155059",0,53,53
"IA7165025",0,53,53
"IA7170040",0,41,43.88
"IA7177007",0,62,43
"IA7209069",0,66,2
"IA7222034",0,66,2
"IA7227701",0,66,2
"IA7234069",0,66,2
"IA7239086",0,66,2
"IA7245047",0,49,49
"IA7324038",0,61,20
"IA7329029",0,54,41.22
"IA7335054",0,61,20
"IA7349023",0,60,11
"IA7380036",0,61,20
"IA7383045",0.51,59,73.39
"IA7383901",0,61,20
"IA7428021",0,43,38.01
"IA7428022",0,58,50
"IA7445096",0,56,35
"IA7450019",0,56,35
"IA7465010",0,55,76
"IA7470099",0,58,49.85
"IA7509008",0,62,41
"IA7514049",0,62,41
"IA7521084",0,62,41
"IA7528051",0,33,3
"IA7537032",0,43,42
"IA7540174",0.55,36,28.7
"IA7548072",0,33,3
"IA7561021",0,55,38
"IA7568079",0,55,38
"IA7589008",0,33,3
"IA7603045",0,70,56
"IA7607088",0,63,34.33
"IA7609039",1,62,60
"IA7614063",1,62,60
"IA7622024",0,70,56
"IA7628047",1,62,60
"IA7633049",0,53,59
"IA7639002",0,53,59
"IA7642047",0,70,56
"IA7700601",0,26,53
"IA7700800",0,3,6
"IA7700802",0,8,16.7
"IA7700901",0,6,42
"IA7707030",0,7,38
"IA7709053",0,5,27.79
"IA7709395",0,35,46.79
"IA7709396",0,1,26
"IA7709398",0,1,26
"IA7709601",0,1,26
"IA7709801",0,3,6
"IA7717032",0,13,30.94
"IA7720051",0.13,4,27.32
"IA7727031",0.08,44,53.99
"IA7727603",0.06,8,83
"IA7727605",0,26,53
"IA7730012",0,26,10
"IA7736011",0,4,25.64
"IA7736301",0,4,25
"IA7740011",0,4,23.44
"IA7751092",0,26,27
"IA7767601",0,8,34.57
"IA7770050",0,7,10
"IA7774701",0,5,20.07
"IA7778039",0,26,8.75
"IA7780042",0,15,27.2
"IA7780601",0,48,22
"IA7785007",0,12,26.69
"IA7803080",0,60,59
"IA7809078",0,53,5
"IA7812601",0,25,57
"IA7820080",0.3,50,61.36
"IA7820701",0,60,59
"IA7822086",0,18,29
"IA7833025",0,60,57
"IA7841014",0,53,5
"IA7849086",0,48,2
"IA7853043",0,48,2
"IA7856084",0,60,55.4
"IA7866031",0,46,7
"IA7872062",0,60,59
"IA7905088",0.84,45,28.99
"IA7909047",0,38,53
"IA7915017",0,45,37
"IA7930008",0,44,50.84
"IA7945018",0,45,36.39
"IA7950097",0,45,37
"IA7950300",0,27,20.5
"IA8018040",0,35,59
"IA8040015",0,50,87
"IA8055014",0,50,87
"IA8104076",0,52,61
"IA8114000",0,67,2
"IA8127048",0,52,61
"IA8133009",0,64,60.45
"IA8144087",0,63,54
"IA8150015",0,64,61
"IA8156028",0,67,2
"IA8166061",0,63,54
"IA8200601",0,NA,NA
"IA8200855",0,15,27
"IA8209301",0,35,15
"IA8209308",0,26,34
"IA8209309",0,17,9
"IA8209359",0,35,15
"IA8209398",0,35,15
"IA8209600",0,7,1.52
"IA8215301",0,26,34
"IA8215303",0,28,48
"IA8215304",0,25,6
"IA8215305",0,26,34
"IA8215306",0,14,75.68
"IA8215308",0,28,48
"IA8215372",0,28,48
"IA8215384",0,26,34
"IA8215396",0,26,34
"IA8215399",0,26,34
"IA8218050",0,27,38.22
"IA8218301",0,28,48
"IA8222001",0.1,38,49.51
"IA8222603",0,15,27
"IA8225043",0,50,0
"IA8227045",0,29,15.61
"IA8230008",0,11,6.19
"IA8230301",0,35,15
"IA8230302",0,35,15
"IA8245303",0,NA,NA
"IA8245323",0,17,9
"IA8245357",0,35,15
"IA8251096",0,15,27
"IA8255060",0,50,0
"IA8264059",0,50,0
"IA8271301",0,17,9
"IA8271302",0,17,9
"IA8273061",0,35,15
"IA8273062",0,35,15
"IA8285058",0,26,34
"IA8300184",0,60,59
"IA8315018",0,64,42
"IA8320098",0,62,43
"IA8325013",0,64,42
"IA8335029",0,45,43.67
"IA8340099",0,64,42
"IA8355025",0,62,43
"IA8365052",0,62,43
"IA8369038",0,62,43
"IA8400733",0,55,38
"IA8403029",0,52,3
"IA8409037",0,47,14
"IA8429002",0,52,3
"IA8434040",1,48,57
"IA8439058",0,47,14
"IA8444063",0,36,13
"IA8447098",0,44,11
"IA8455056",0,47,14
"IA8458057",0,52,3
"IA8474097",0,34,11.95
"IA8482096",0,44,11
"IA8482701",0,44,11
"IA8486053",0,21,15.89
"IA8503039",0.02,21,24.33
"IA8503305",0,45,34.26
"IA8503528",0.35,29,78
"IA8509069",0,27,0
"IA8515060",0,49,35
"IA8520061",0,49,35
"IA8531083",0,6,24
"IA8538066",0,27,0
"IA8538601",0,27,0
"IA8548016",0,27,0
"IA8552010",0,58,39
"IA8557058",0,49,35
"IA8562044",0,35,66.78
"IA8570001",0,32,30
"IA8580057",0,27,0
"IA8584000",0,32,30
"IA8590041",0,58,39
"IA8609019",0,60,52
"IA8616052",0,61,1
"IA8627095",0,61,1
"IA8631003",0,60,52
"IA8637079",0,56,47
"IA8640089",0,56,47
"IA8666002",0,60,52
"IA8670013",0.77,46,70.37
"IA8670701",1,45,70
"IA8676027",0.06,54,73.36
"IA8681030",0,61,17
"IA8709096",0,55,61
"IA8748075",1,51,50
"IA8758061",0,61,27
"IA8816089",0,49,68.84
"IA8909011",1,48,55
"IA8914031",1,48,55
"IA8920001",0,43,32
"IA8930038",0,43,32
"IA8938026",1,48,55
"IA8954084",0,43,32
"IA8973095",1,48,55
"IA9003006",0,57,39
"IA9027014",0,34,18
"IA9049001",0,35,24.42
"IA9053004",0,57,39
"IA9083012",0.61,67,66.23
"IA9083602",1,81,98
"IA9113071",0,29,41
"IA9128301",0,26,7
"IA9133075",0,29,38.73
"IA9133701",0,28,38.8
"IA9138041",0,26,41
"IA9147047",0,26,10
"IA9155083",0,26,41
"IA9159067",0,26,10
"IA9164078",0,13,43.79
"IA9164601",0,10,39
"IA9176019",0,26,10
"IA9203007",0,51,12
"IA9209043",0,57,36
"IA9214085",0,51,12
"IA9233012",0,30,18
"IA9233301",0,30,18
"IA9233460",0,30,18
"IA9233899",0,26,43
"IA9260090",0,30,18
"IA9260301",0,30,18
"IA9260302",0,30,18
"IA9271068",0.92,50,56.73
"IA9276096",0,57,36
"IA9281006",0,57,36
"IA9303024",1,55,70
"IA9334078",1,48,49
"IA9348065",1,40,25
"IA9352084",1,40,25
"IA9368035",1,55,70
"IA9400801",1,51,89
"IA9405082",0,44,25
"IA9408087",0,49,42
"IA9417063",0,65,57
"IA9420027",0,49,42
"IA9425011",0,54,49
"IA9427082",0,44,25
"IA9433050",0.63,55,73.34
"IA9433302",0,49,42
"IA9433312",0.94,61,87
"IA9433324",0,44,25
"IA9433349",0,49,42
"IA9433600",1,51,89
"IA9433601",1,40,82
"IA9433602",1,51,89
"IA9433801",0.03,49,51.65
"IA9436095",0,65,57
"IA9442027",0,65,57
"IA9453071",0,54,49
"IA9461007",0,65,57
"IA9464008",0,54,49
"IA9486052",0,44,25
"IA9506052",0,64,18
"IA9525047",0,33,23.41
"IA9525601",0,31,24
"IA9545044",0,48,44
"IA9549073",0,48,44
"IA9575068",0,64,18
"IA9585017",0,64,18
"IA9615064",0,57,23
"IA9620082",0,49,23
"IA9630001",0,47,20.73
"IA9630012",0,43,14.69
"IA9630303",0,NA,NA
"IA9630307",0,44,12
"IA9641049",0,57,23
"IA9644001",0,61,8
"IA9677007",0,49,23
"IA9680085",0,50,9
"IA9686077",0,57,23
"IA9700630",0,44,11
"IA9704060",0,59,53
"IA9709046",0,44,11
"IA9721076",0,59,53
"IA9725094",0,59,53
"IA9729099",0,59,53
"IA9738057",0,49,13
"IA9743065",0,44,11
"IA9753022",0,44,11
"IA9758023",0,49,13
"IA9766041",0,59,53
"IA9770024",0,49,13
"IA9774033",0.01,12,47.75
"IA9778054",0.2,57,56.77
"IA9780059",0,49,13
"IA9783060",0,51,23.18
"IA9820010",0,69,37
"IA9825097",0,62,44
"IA9830001",0,69,37
"IA9835001",0,69,37
"IA9840018",0,62,44
"IA9845024",0,62,44
"IA9855077",0,55,59
"IA9905003",0,39,33
"IA9909031",1,60,59
"IA9921050",0,72,52.8
"IA9926096",0.99,63,37
"IA9937092",0,60,25
"IA9958004",0,73,61
"IA9970037",0,60,25
"IN5201001",1,42,44.51
"IN5201002",0.41,42,58
"IN5201003",1,39,51
"IN5201004",1,48,25
"IN5201006",0,36,27
"IN5201009",1,39,46
"IN5202003",0,27,30
"IN5202006",0,28,24.51
"IN5202007",0,7,23.05
"IN5202008",0,51,77
"IN5202009",0.64,30,54.69
"IN5202010",0,27,30
"IN5202018",1,35,90
"IN5202020",0.3,33,56.25
"IN5202024",0,30,32
"IN5202030",0,24,2
"IN5202034",0,15,34.68
"IN5202037",0,30,15
"IN5203002",0.17,30,60.02
"IN5203003",0,21,37
"IN5203004",1,23,NA
"IN5203005",0,21,37
"IN5203006",0,45,0
"IN5203008",0,20,42.32
"IN5204001",1,60,70
"IN5204002",1,60,70
"IN5204003",1,60,70
"IN5204004",0,44,36.28
"IN5204005",0,51,42
"IN5204006",1,59,63
"IN5205002",0.68,50,86.58
"IN5205004",1,63,56
"IN5206001",0,36,30
"IN5206002",0,2,9
"IN5206003",0,34,75.32
"IN5206004",0,19,18
"IN5206005",0,42,41
"IN5206008",0,36,30
"IN5206014",0,8,11.73
"IN5207001",0,22,57.48
"IN5207002",0,21,55.68
"IN5207004",0,18,52.39
"IN5208001",0,57,34
"IN5208002",0,58,50.3
"IN5208003",0,57,49
"IN5208004",0,39,56
"IN5208012",0,47,9
"IN5209001",0,NA,NA
"IN5209003",0,46,51
"IN5209004",0,53,25
"IN5209005",0,51,19
"IN5209008",0,51,19
"IN5209010",0,53,25
"IN5209012",0.84,71,61.98
"IN5209014",0,42,45.47
"IN5210002",0,19,67.46
"IN5210003",0.2,35,72.64
"IN5210005",0.25,35,69.58
"IN5210006",0,20,59.23
"IN5210009",0,12,52.12
"IN5210010",0,19,64.06
"IN5210015",0,28,76.79
"IN5210016",0.26,14,61.3
"IN5210022",0,35,89
"IN5211001",0,50,74.36
"IN5211002",0,36,29
"IN5211003",0,39,26
"IN5211004",0,44,59
"IN5211006",0,39,26
"IN5211007",0,33,37
"IN5211009",0,39,26
"IN5212001",0,52,48
"IN5212002",0,52,48
"IN5212003",0.32,58,63.22
"IN5212004",0,56,51
"IN5212005",0,41,64
"IN5212007",0,41,64
"IN5212010",0,NA,NA
"IN5213001",1,35,77
"IN5213002",1,15,69
"IN5213003",1,15,69
"IN5213004",1,24,59
"IN5213006",0.98,33,73.25
"IN5213007",1,15,69
"IN5214001",1,15,69
"IN5214002",0.11,27,38.4
"IN5214003",1,32,53
"IN5214004",1,15,69
"IN5214005",1,32,53.3
"IN5214007",0.55,47,66.83
"IN5215001",0.01,61,62.62
"IN5215002",0,28,75
"IN5215003",0.07,41,50.32
"IN5215004",0,7,31.52
"IN5215005",0,28,75
"IN5215006",0.85,42,84.94
"IN5215007",0,29,67.58
"IN5215008",0,23,12.17
"IN5215009",0,14,50.59
"IN5216002",0.12,37,58.52
"IN5216003",0,23,29.41
"IN5216004",0.67,43,18.89
"IN5216005",0,39,31
"IN5216008",0.08,NA,NA
"IN5217001",0,29,61.3
"IN5217002",0,20,13
"IN5217003",0,51,81
"IN5217004",0,54,73.07
"IN5217006",1,39,51
"IN5217007",0,41,67.94
"IN5217008",0,41,68
"IN5218001",0,49,25
"IN5218003",0,NA,NA
"IN5218004",0,41,20
"IN5218005",0,21,22
"IN5218006",1,49,8
"IN5218008",0,26,48
"IN5218011",0,26,48
"IN5218012",0.53,50,70.01
"IN5218014",0,38,NA
"IN5218020",0,38,35
"IN5218027",0,41,20
"IN5218028",0,26,12
"IN5219001",0,26,14
"IN5219002",0,17,33.22
"IN5219003",0,21,38.13
"IN5219004",0,29,29
"IN5219006",0,29,29
"IN5219007",0.66,52,68.68
"IN5219008",0,19,41
"IN5219009",0,26,53.87
"IN5219010",0,25,24.76
"IN5219011",0,26,23.51
"IN5219012",0,26,14
"IN5220001",0,NA,NA
"IN5220003",0,19,43
"IN5220007",0,23,25
"IN5220008",0.48,42,65.11
"IN5220009",0.04,33,51.42
"IN5220012",0,10,7
"IN5220014",0,16,9.18
"IN5220015",0,28,1
"IN5220016",0,41,38.99
"IN5220021",0,39,9
"IN5220027",0,19,43
"IN5220029",0,39,37
"IN5220031",0,28,1
"IN5220032",0,17,12
"IN5220035",0,NA,NA
"IN5220037",0,10,30
"IN5221001",0.77,56,89.07
"IN5221002",0,30,15
"IN5221003",0,28,61
"IN5221004",0,28,61
"IN5221007",0,35,55
"IN5222001",0.01,16,36.73
"IN5222002",0,22,28.83
"IN5222003",0,13,36.32
"IN5222004",0,17,40.73
"IN5223001",0.47,66,72.01
"IN5223002",0,39,74
"IN5223003",1,49,49
"IN5223004",0,40,56
"IN5223005",1,49,49
"IN5224001",0.9,49,78.71
"IN5224002",0.61,47,75.54
"IN5224004",1,33,57
"IN5224006",0,18,20
"IN5225001",0,58,50
"IN5225003",1,45,53
"IN5225004",0,37,34
"IN5225006",0,47,88.29
"IN5226001",0,37,30.94
"IN5226002",0,43,23
"IN5226003",0,37,31
"IN5226004",0,32,49
"IN5226005",0,44,52
"IN5226006",0,26,37
"IN5226007",0,32,49
"IN5226008",0,45,63.5
"IN5226009",0,37,31
"IN5227003",0.99,NA,NA
"IN5227005",1,49,64
"IN5227006",1,43,76.97
"IN5227010",1,49,85.78
"IN5227014",0.44,50,81.57
"IN5227020",0,49,26
"IN5227022",0,31,50
