"pwsid","huc12","num_facilities","npdes_permits","total_permit_eff_viols","total_open_usts","total_facilities_w_rmps","streams_303d_list"
"RI1000040",10900050101,2,1,0,9,0,7
"RI1000045",10900050301,2,3,0,10,0,2
"RI1000098",10900050102,2,0,0,0,0,5
"RI1559511",10900040603,4,5,0,66,0,4
"RI1559511",10900040904,1,6,0,26,0,2
"RI1559512",10900050205,4,2,0,18,0,6
"RI1559512",10900050303,8,6,0,25,0,4
"RI1559513",10900050403,4,2,0,11,0,3
"RI1559517",10900040904,3,6,0,26,0,2
"RI1559517",10900040908,5,16,0,27,2,6
"RI1559517",10900040912,3,2,0,7,0,1
"RI1559518",10900030205,1,4,0,24,0,3
"RI1559518",10900030208,2,13,0,77,0,13
"RI1583825",10900030204,1,2,0,12,0,4
"RI1592010",10900040907,3,4,0,20,0,5
"RI1592010",10900040910,4,7,0,12,1,9
"RI1592010",10900040911,3,2,0,25,0,2
"RI1592012",10900050202,2,1,0,1,0,7
"RI1592020",10900030203,1,1,0,4,0,4
"RI1592021",10900030207,8,6,0,9,0,6
"RI1592023",10900040907,1,4,0,20,0,5
"RI1592024",10900040606,1,1,0,6,0,2
"RI1615619",10900040803,1,8,0,62,0,3
"RI1615623",10900050403,3,2,0,11,0,3
"RI1615624",10900050201,7,1,0,6,0,5
"RI1615626",10900040905,2,10,0,85,1,13
"RI1647511",10900050403,2,2,0,11,0,3
"RI1647512",10900050403,2,2,0,11,0,3
"RI1647516",10900030202,1,3,0,2,0,9
"RI1647529",10900050204,2,2,0,12,0,6
"RI1647530",10900030207,4,6,0,9,0,6
"RI1647530",10900030208,5,13,0,77,0,13
"RI1858411",10900030202,6,3,0,2,0,9
"RI1858421",10900050201,3,1,0,6,0,5
"RI1858422",10900050201,3,1,0,6,0,5
"RI1858435",10900040605,1,1,0,7,0,1
"RI1900020",10900040602,1,0,0,7,0,1
"RI1900034",10900030204,2,2,0,12,0,4
"RI1900053",10900050102,3,0,0,0,0,5
"RI2000053",11000010301,1,0,0,0,0,4
"RI2000059",10900030204,2,2,0,12,0,4
"RI2000083",10900040502,2,9,0,122,0,14
"RI2000165",10900050202,2,1,0,1,0,7
"RI2051311",10900040910,1,7,0,12,1,9
"RI2519424",10900030203,2,1,0,4,0,4
"RI2585312",10900050201,2,1,0,6,0,5
"RI2674924",10900050403,1,2,0,11,0,3
"RI2674925",10900050205,2,2,0,18,0,6
"RI2674928",10900050403,1,2,0,11,0,3
"RI2753326",10900040910,2,7,0,12,1,9
"RI2942525",10900050202,2,1,0,1,0,7
"RI2943224",10900030203,3,1,0,4,0,4
"RI2973130",10900030203,4,1,0,4,0,4
"RI2980001",10900020502,1,9,0,19,0,9
