"pwsid","pw_int_hh.redlining","pw_int_pop.life_expectancy","pw_int_pop.cancer","a_int.overall_cvi_score"
"CT0780171",0,NA,3.7,0.42
"CT0780181",0,NA,3.7,0.42
"CT0780211",0,NA,3.7,0.42
"CT0780251",NA,NA,NA,0.39
"CT0787011",0,NA,3.7,0.42
"CT0787091",0,82.4,8.8,0.43
"CT0787111",0,78.4,6.2,0.42
"CT0787121",0,85.9,7.6,0.38
"CT0790011",0,77.9,7.6,0.4
"CT0790031",NA,NA,NA,0.4
"CT0790041",0,77.9,7.6,0.4
"CT0791001",0,77.9,7.6,0.4
"CT0791201",NA,NA,NA,0.4
"CT0792011",0,77.9,7.6,0.4
"CT0798013",0,84.8,7.9,0.43
"CT0800011",0,78.7,6.6,0.48
"CT0815051",0,NA,8.9,0.47
"CT0819061",0,85.4,7.8,0.42
"CT0820031",NA,NA,NA,0.42
"CT0820501",NA,NA,NA,0.42
"CT0826061",0,82.2,8.2,0.42
"CT0827071",0,82.2,8.2,0.42
"CT0827081",0,82.2,8.2,0.42
"CT0830011",0,78.5,6.4,0.45
"CT0830021",0,77.7,7.9,0.47
"CT0860011",0,78.7,6.9,0.45
"CT0860021",0,79,7.5,0.53
"CT0860031",0,78.7,6.9,0.46
"CT0860041",0,85,4.8,0.53
"CT0860051",0,78.7,6.9,0.45
"CT0860081",0,84.7,7.6,0.5
"CT0860091",NA,NA,NA,0.45
"CT0860131",0,84.7,7.6,0.5
"CT0860141",NA,NA,NA,0.53
"CT0860171",0,78.7,6.9,0.45
"CT0860191",0,84.7,7.6,0.5
"CT0860211",NA,NA,NA,0.5
"CT0861021",0,84.7,7.6,0.51
"CT0861051",NA,NA,NA,0.53
"CT0861111",0,79.6,7,0.48
"CT0861251",0,78.7,6.9,0.45
"CT0864011",0,81.6,6.6,0.52
"CT0866301",0,78.7,6.9,0.45
"CT0867071",NA,NA,NA,0.5
"CT0867101",0,84.5,7.6,0.49
"CT0868011",0,78.7,6.9,0.45
"CT0869011",NA,NA,NA,0.53
"CT0869121",NA,NA,NA,0.45
"CT0878011",0,NA,NA,0.38
"CT0878021",0,78.6,8.1,0.37
"CT0880011",0,80.3,7,0.49
"CT0880031",0,79,7.7,0.5
"CT0890011",2,76.8,6.2,0.49
"CT0900011",0,82.3,8.6,0.36
"CT0910011",0,81.9,7,0.38
"CT0910021",0,81.9,7,0.39
"CT0910031",0,81.9,7,0.38
"CT0910041",0,85.9,7.5,0.4
