"pwsid","total_pop_pct_change_2011_2021","laborforce_unemployed_pct_change_2011_2021","mhi_pct_change_2011_2021","hh_inc_lowest_quintile_pct_change_2011_2021","hh_total_pct_change_2011_2021","hh_below_pov_pct_change_2011_2021","poc_alone_per_pct_change_2011_2021","pop_in_pov_per_pct_change_2011_2021","income_change_flag","population_change_flag","total_pop_pct_change_2011_2021_cap","mhi_pct_change_2011_2021_cap"
"CT0490041",-9.24,-33.33,0.65,18.23,10.67,20,3.12,50,"Increase in income the last 10 years","Decrease in people the last 10 years",-9.24,0.65
"CT0500011",-8.7,-100,NA,NA,-9.68,-50,200,50,NA,"Decrease in people the last 10 years",-8.7,NA
"CT0500021",6.67,0,-11.89,-15.28,5,100,450,0,"Decrease in income the last 10 years","Increase in people the last 10 years",6.67,-11.89
"CT0501001",5.88,0,NA,NA,6.67,0,450,0,NA,"Increase in people the last 10 years",5.88,NA
"CT0520011",6.19,-1.92,5.82,-6.38,4.76,44.74,109.09,40,"Increase in income the last 10 years","Increase in people the last 10 years",6.19,5.82
"CT0529051",3.8,-40,4.75,26.76,3.33,-50,133.33,100,"Increase in income the last 10 years","Increase in people the last 10 years",3.8,4.75
"CT0550011",6.45,-25,28.97,38.34,-7.69,-50,900,0,"Increase in income the last 10 years","Increase in people the last 10 years",6.45,28.97
"CT0550321",3.85,0,NA,NA,-9.09,0,900,0,NA,"Increase in people the last 10 years",3.85,NA
"CT0560011",-64.42,-56.6,17.94,-27.46,-61.95,211.11,-20,400,"Increase in income the last 10 years","Decrease in people the last 10 years",-64.42,17.94
"CT0570011",7.85,44.74,29.65,27.19,9.28,-88.24,25,-75,"Increase in income the last 10 years","Increase in people the last 10 years",7.85,29.65
"CT0579143",5.13,0,1.8,-23.06,0,-100,200,0,"Increase in income the last 10 years","Increase in people the last 10 years",5.13,1.8
"CT0580011",-3.22,-29.45,-23.68,19.44,-2.34,-29.32,18.18,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.22,-23.68
"CT0580021",-3.09,-40,-12.25,17.25,4.62,-25,250,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.09,-12.25
"CT0580031",-2.97,-33.33,-12.25,17.25,2.44,0,250,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-2.97,-12.25
"CT0580041",-3.15,-40,-12.25,17.25,3.55,-44.44,250,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.15,-12.25
"CT0580051",-3.21,-42.86,-12.25,17.25,2.97,-33.33,250,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.21,-12.25
"CT0580061",-3.47,-30,-25.22,20.25,-3.33,-22.22,16.67,-7.69,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.47,-25.22
"CT0590011",-3.39,-7.16,8.35,1.07,4.3,6.51,26.09,25,"Increase in income the last 10 years","Decrease in people the last 10 years",-3.39,8.35
"CT0590031",-15.93,-44.19,46.79,10.4,-10.73,-60.42,-14.29,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-15.93,46.79
"CT0590051",-16.73,-53.33,47.36,10.69,-11.14,-63.64,-16.67,-40,"Increase in income the last 10 years","Decrease in people the last 10 years",-16.73,47.36
"CT0590071",0,0,16.67,11.31,-7.69,NA,53.85,400,"Increase in income the last 10 years",NA,0,16.67
"CT0597021",-0.92,250,NA,NA,-6.98,66.67,38.46,166.67,NA,"Decrease in people the last 10 years",-0.92,NA
"CT0600041",-3.49,0,2.64,-29.02,-6.25,NA,180,100,"Increase in income the last 10 years","Decrease in people the last 10 years",-3.49,2.64
"CT0606011",-2.22,0,NA,NA,-5.88,NA,180,100,NA,"Decrease in people the last 10 years",-2.22,NA
"CT0608011",-3.47,-34.22,-1.67,-3.81,1.11,11.9,60,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.47,-1.67
"CT0614021",-54.17,-100,NA,NA,-60,NA,66.67,0,NA,"Decrease in people the last 10 years",-54.17,NA
"CT0640011",0.76,-37.62,7.5,5.63,2.84,1.06,9.76,-6.67,"Increase in income the last 10 years","Increase in people the last 10 years",0.76,7.5
"CT0660341",0,-100,4.56,-0.78,0,NA,0,0,"Increase in income the last 10 years",NA,0,4.56
"CT0670011",2.22,-42.86,-0.29,-15.12,12.9,-25,0,66.67,"Decrease in income the last 10 years","Increase in people the last 10 years",2.22,-0.29
"CT0670021",2.38,-50,NA,NA,13.79,0,0,66.67,NA,"Increase in people the last 10 years",2.38,NA
"CT0670041",5.88,NA,NA,NA,16.67,NA,0,66.67,NA,"Increase in people the last 10 years",5.88,NA
"CT0670051",-15,-100,0.83,-26.5,0,NA,400,400,"Increase in income the last 10 years","Decrease in people the last 10 years",-15,0.83
"CT0670331",-9.25,-60.53,3.25,-13.23,4.07,58.33,200,100,"Increase in income the last 10 years","Decrease in people the last 10 years",-9.25,3.25
"CT0671021",-12.99,-66.67,NA,NA,3.7,100,400,400,NA,"Decrease in people the last 10 years",-12.99,NA
"CT0672021",-13.68,-66.67,0.83,-26.5,3.03,100,400,400,"Increase in income the last 10 years","Decrease in people the last 10 years",-13.68,0.83
"CT0672031",-1.56,-53.85,-1.36,-19.16,10.32,0,33.33,66.67,"Decrease in income the last 10 years","Decrease in people the last 10 years",-1.56,-1.36
"CT0680011",-0.44,100,4.86,20.68,1.06,-52.94,400,-55.56,"Increase in income the last 10 years","Decrease in people the last 10 years",-0.44,4.86
