"pwsid","pws_name","primacy_agency","pop_cat_5","population_served_count","service_connections_count","service_area_type","symbology_field","detailed_facility_report","ewg_report_link","epic_area_mi2"
"VT0005020","Dorset Fire District 1","VT","501-3,300",530,215,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005020&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005020",1.45
"VT0005021","East Dorset Fire District 1","VT","<=500",192,80,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005021",1.29
"VT0005022","Manchester Water Dept","VT","3,301-10,000",4140,1580,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005022&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005022",7.37
"VT0005024","Bromley Water Company","VT","3,301-10,000",4300,400,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005024&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005024",1.59
"VT0005026","Lampman Water System","VT","<=500",133,43,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005026&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005026",0.12
"VT0005027","Royal Pine Villa","VT","<=500",55,36,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005027&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005027",0.09
"VT0005028","Readsboro Town Of","VT","<=500",375,140,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005028&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005028",2.07
"VT0005029","Barnet Fire District #2","VT","<=500",205,63,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005029&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005029",1.33
"VT0005031","Passumpsic Fire District 1","VT","<=500",140,53,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005031&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005031",0.11
"VT0005033","Burke Fire District 1","VT","<=500",142,54,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005033&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005033",0.31
"VT0005037","Danville Fire District 1","VT","<=500",500,220,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005037&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005037",2.62
"VT0005038","East Hardwick Fire District 1","VT","<=500",350,100,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005038&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005038",0.6
"VT0005039","Hardwick Town Water System","VT","501-3,300",1900,803,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005039&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005039",1.55
"VT0005040","Lyndonville Water System","VT","3,301-10,000",4500,1500,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005040&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005040",7.55
"VT0005041","Lyn Haven Fire District 1","VT","<=500",100,38,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005041&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005041",0.18
"VT0005042","Peacham Fire District 1","VT","<=500",150,57,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005042&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005042",0.27
"VT0005043","Ryegate Fire District 2","VT","<=500",131,50,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005043&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005043",0.16
"VT0005045","St Johnsbury Water System","VT","3,301-10,000",5000,1792,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005045&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005045",7.67
"VT0005046","St Johnsbury Center F D 1","VT","<=500",370,103,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005046&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005046",0.34
"VT0005048","Sutton Water System","VT","<=500",185,23,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005048&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005048",0.28
"VT0005049","Wheelock Fire District 1","VT","<=500",50,21,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005049&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005049",0.24
"VT0005051","Bolton Community Water System","VT","501-3,300",1030,144,"Recreation Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005051&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005051",1.92
"VT0005052","Fernwood Manor Mhp","VT","<=500",250,78,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005052&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005052",0.19
